Cpd,Formula,RT,Mass,CAS_ID,Source,Score,Algorithm,Area,Area_Pct,Peak_Height
3855,C39H68NO11P,5.529,757.4504,,FBF,74.62,FBF,,,
3856,C40H70NO11P,5.919,771.4719,,FBF,53.54,FBF,,,
3857,C41H70NO10P,19.07,767.4742,,FBF,61.14,FBF,,,
3858,C48H82NO11P,4.906,879.5619,,FBF,68.61,FBF,,,
3859,C35H60NO11P,4.437,701.389,,FBF,78.83,FBF,34988729.0,25.39,6894655.0
3860,C36H62NO9P,5.815,683.4204,,FBF,50.37,FBF,,,
3861,C48H80NO11P,5.218,877.5477,,FBF,93.38,FBF,,,
3862,C50H80NO9P,14.211,869.5572,,FBF,62.63,FBF,,,
3863,C36H60NO9P,5.841,681.4039,,FBF,60.56,FBF,,,
3864,C36H60NO11P,20.369,713.3908,,FBF,50.04,FBF,,,
3865,C37H60NO10P,10.701,709.3967,,FBF,53.69,FBF,,,
3866,C41H68NO9P,4.567,749.4642,,FBF,60.86,FBF,,,
3867,C50H78NO9P,0.409,867.5447,,FBF,60.55,FBF,,,
3868,C36H58NO10P,4.411,695.3786,,FBF,88.16,FBF,,,
3869,C40H64NO10P,4.671,749.4286,,FBF,92.03,FBF,21727273.0,15.77,4512959.0
3870,C41H66NO9P,14.211,747.4443,,FBF,55.06,FBF,,,
3871,C48H74NO10P,5.166,855.5025,,FBF,66.9,FBF,,,
3872,C50H78NO10P,13.561,883.5362,,FBF,50.05,FBF,,,
3873,C48H94NO9P,17.485,859.6652,,FBF,50.97,FBF,,,
3874,C50H96NO9P,15.432,885.6836,,FBF,57.16,FBF,,,
3875,C50H94NO10P,16.446,899.6656,,FBF,62.27,FBF,,,
3876,C50H94NO11P,14.886,915.6513,,FBF,54.99,FBF,,,
3877,C50H92NO10P,17.018,897.6435,,FBF,53.31,FBF,,,
3878,C50H90NO11P,19.928,911.6203,,FBF,50.48,FBF,,,
3879,C39H76NO9P,20.006,733.5292,,FBF,69.93,FBF,,,
3880,C43H78NO9P,16.186,783.5423,,FBF,52.08,FBF,,,
3881,C50H88NO11P,17.797,909.6087,,FBF,82.27,FBF,,,
3882,C52H90NO10P,20.343,919.6295,,FBF,57.78,FBF,,,
3883,C41H72NO11P,4.671,785.4888,,FBF,52.11,FBF,21727273.0,15.77,4512959.0
3884,C43H72NO9P,4.489,777.4942,,FBF,57.93,FBF,,,
3885,C50H86NO12P,4.984,923.5849,,FBF,52.11,FBF,,,
3886,C50H84NO11P,13.457,905.5765,,FBF,58.17,FBF,,,
3887,C52H84NO9P,9.948,897.5957,,FBF,53.37,FBF,,,
3888,C42H68NO11P,4.75,793.4538,,FBF,92.99,FBF,34765323.0,25.23,4024607.0
3889,C43H70NO9P,4.724,775.4808,,FBF,69.92,FBF,,,
3890,C50H84NO12P,5.27,921.5712,,FBF,92.04,FBF,,,
3891,C50H80NO11P,4.932,901.5417,,FBF,55.61,FBF,,,
3892,C38H60NO9P,4.541,705.4036,,FBF,83.52,FBF,27697614.0,20.1,4488337.0
3893,C50H82NO12P,14.627,919.559,,FBF,52.77,FBF,,,
3894,C50H78NO11P,5.218,899.5302,,FBF,92.6,FBF,,,
3895,C50H76NO10P,18.94,881.5192,,FBF,54.12,FBF,,,
3896,C52H78NO9P,13.327,891.5435,,FBF,72.35,FBF,,,
3897,C37H56NO9P,4.906,689.3694,,FBF,57.54,FBF,,,
3898,C37H56NO11P,19.642,721.3524,,FBF,51.32,FBF,,,
3899,C18H36NO8P,3.891,425.2147,,FBF,80.55,FBF,98265146.0,71.3,9017489.0
3900,C38H76NO8P,21.408,705.5289,,FBF,50.37,FBF,,,
3901,C41H80NO8P,20.499,745.5638,,FBF,52.09,FBF,,,
3902,C56H112NO8P,13.847,957.8077,,FBF,59.0,FBF,,,
3903,C57H114NO8P,18.109,971.8301,,FBF,55.54,FBF,,,
3904,C47H90NO8P,19.122,827.6375,,FBF,59.63,FBF,,,
3905,C21H42NO8P,3.735,467.2611,,FBF,52.99,FBF,,,
3906,C43H80NO8P,13.353,769.5615,,FBF,51.36,FBF,,,
3907,C45H88NO8P,18.42,801.6244,,FBF,66.36,FBF,,,
3908,C45H86NO8P,18.992,799.6092,,FBF,57.05,FBF,,,
3909,C58H116NO8P,21.928,985.8439,,FBF,50.25,FBF,,,
3910,C23H46NO8P,5.062,495.2973,,FBF,68.49,FBF,,,
3911,C42H72NO8P,10.026,749.4972,,FBF,69.4,FBF,,,
3912,C43H72NO8P,5.036,761.4986,,FBF,94.85,FBF,,,
3913,C47H80NO8P,13.509,817.5611,,FBF,60.34,FBF,,,
3914,C59H118NO8P,19.044,999.8517,,FBF,51.16,FBF,,,
3915,C49H96NO8P,17.485,857.6928,,FBF,73.01,FBF,,,
3916,C47H92NO8P,22.265,829.6516,,FBF,58.31,FBF,,,
3917,C47H78NO8P,15.692,815.5447,,FBF,55.69,FBF,,,
3918,C47H82NO8P,13.327,819.5788,,FBF,55.52,FBF,,,
3919,C58H114NO8P,21.148,983.8289,,FBF,51.34,FBF,,,
3920,C59H116NO8P,20.213,997.8422,,FBF,52.38,FBF,,,
3921,C22H40NO8P,3.527,477.2494,,FBF,75.29,FBF,,,
3922,C45H80NO8P,12.651,793.5615,,FBF,50.77,FBF,,,
3923,C47H84NO8P,16.368,821.5941,,FBF,53.29,FBF,,,
3924,C49H86NO8P,17.381,847.6118,,FBF,52.53,FBF,,,
3925,C27H50NO8P,3.943,547.3283,,FBF,88.71,FBF,,,
3926,C42H82NO11P,20.993,807.5596,,FBF,56.78,FBF,,,
3927,C51H98NO8P,14.809,883.7078,,FBF,50.61,FBF,,,
3928,C50H82NO8P,14.549,855.5765,,FBF,60.34,FBF,,,
3929,C52H86NO8P,18.213,883.6015,,FBF,50.2,FBF,,,
3930,C24H44NO8P,5.4,505.2835,,FBF,55.47,FBF,,,
3931,C54H100NO8P,17.355,921.7186,,FBF,58.47,FBF,,,
3932,C46H74NO8P,19.434,799.5074,,FBF,57.61,FBF,,,
3933,C64H126NO8P,17.979,1067.9222,,FBF,84.67,FBF,,,
3934,C60H116NO8P,18.524,1009.8471,,FBF,55.77,FBF,,,
3935,C62H120NO8P,17.797,1037.8853,,FBF,51.32,FBF,,,
3936,C58H110NO8P,17.225,979.7964,,FBF,50.94,FBF,,,
3937,C50H78NO8P,12.755,851.5443,,FBF,55.41,FBF,,,
3938,C61H116NO8P,18.654,1021.8445,,FBF,51.71,FBF,,,
3939,C64H122NO8P,16.758,1063.8902,,FBF,57.76,FBF,,,
3940,C65H124NO8P,16.888,1077.9103,,FBF,62.24,FBF,,,
3941,C48H76NO8P,14.393,825.5288,,FBF,50.34,FBF,,,
3942,C59H110NO8P,14.912,991.806,,FBF,52.61,FBF,,,
3943,C56H98NO8P,17.693,943.7065,,FBF,58.12,FBF,,,
3944,C66H130NO8P,17.901,1095.9549,,FBF,51.59,FBF,,,
3945,C32H54NO8P,6.205,611.36,,FBF,61.64,FBF,,,
3946,C32H52NO8P,5.244,609.3422,,FBF,61.45,FBF,,,
3947,C52H80NO8P,20.032,877.5636,,FBF,53.21,FBF,,,
3948,C62H114NO8P,20.239,1031.8353,,FBF,54.55,FBF,,,
3949,C66H124NO8P,19.694,1089.9082,,FBF,66.81,FBF,,,
3950,C55H100NO8P,21.928,933.7215,,FBF,51.98,FBF,,,
3951,C56H100NO8P,20.421,945.7182,,FBF,59.25,FBF,,,
3952,C58H104NO8P,21.019,973.7547,,FBF,52.09,FBF,,,
3953,C60H108NO8P,14.86,1001.7871,,FBF,65.65,FBF,,,
3954,C68H134NO8P,17.719,1123.9779,,FBF,50.22,FBF,,,
3955,C69H136NO8P,21.408,1137.9895,,FBF,63.13,FBF,,,
3956,C68H128NO8P,19.382,1117.9302,,FBF,50.41,FBF,,,
3957,C69H130NO8P,18.836,1131.9551,,FBF,59.61,FBF,,,
3958,C62H112NO8P,20.317,1029.8181,,FBF,62.63,FBF,,,
3959,C34H56NO8P,5.763,637.3797,,FBF,62.87,FBF,,,
3960,C57H102NO8P,17.407,959.7326,,FBF,55.3,FBF,,,
3961,C71H142NO8P,11.897,1168.0513,,FBF,69.07,FBF,,,
3962,C36H62NO8P,5.4,667.4205,,FBF,71.03,FBF,,,
3963,C32H50NO8P,4.125,607.327,,FBF,75.82,FBF,,,
3964,C73H146NO8P,21.486,1196.0839,,FBF,59.04,FBF,,,
3965,C36H60NO8P,4.724,665.4027,,FBF,52.31,FBF,,,
3966,C36H56NO8P,4.437,661.3772,,FBF,82.14,FBF,34988729.0,25.39,6894655.0
3967,C38H64NO8P,4.958,693.4342,,FBF,53.29,FBF,,,
3968,C38H60NO8P,5.867,689.4033,,FBF,59.3,FBF,,,
3969,C40H62NO8P,5.477,715.4213,,FBF,65.68,FBF,,,
3970,C41H68NO8P,4.359,733.4682,,FBF,56.21,FBF,,,
3971,C41H66NO8P,4.984,731.4521,,FBF,61.27,FBF,,,
3972,C42H68NO8P,5.01,745.4669,,FBF,84.36,FBF,,,
3973,C46H72NO8P,21.538,797.4936,,FBF,52.22,FBF,,,
3974,C46H70NO8P,14.445,795.484,,FBF,62.25,FBF,,,
3975,C53H82NO8P,19.98,891.5778,,FBF,99.49,FBF,,,
3976,C54H82NO8P,15.588,903.5848,,FBF,55.14,FBF,,,
3977,C64H110NO8P,20.317,1051.8011,,FBF,70.58,FBF,,,
3978,C24H40NO8P,4.984,501.2491,,FBF,50.37,FBF,,,
3979,C94H162NO8P,22.031,1464.2015,,FBF,52.54,FBF,,,
3980,C96H154NO8P,20.239,1480.1348,,FBF,72.76,FBF,,,
3981,C25H50NO9P,5.166,539.3221,,FBF,56.61,FBF,,,
3982,C25H46NO8P,3.631,519.2949,,FBF,77.02,FBF,,,
3983,C25H46NO9P,3.631,535.2893,,FBF,56.33,FBF,,,
3984,C25H44NO9P,4.229,533.2775,,FBF,62.78,FBF,,,
3985,C26H44NO9P,5.114,545.2738,,FBF,50.04,FBF,,,
3986,C26H42NO9P,3.735,543.2582,,FBF,67.05,FBF,,,
3987,C28H44NO8P,4.359,553.2781,,FBF,68.93,FBF,,,
3988,C29H48NO8P,3.943,569.3107,,FBF,84.9,FBF,,,
3989,C29H48NO9P,14.86,585.307,,FBF,62.62,FBF,,,
3990,C30H48NO9P,4.489,597.3074,,FBF,67.48,FBF,,,
3991,C33H52NO8P,5.374,621.3418,,FBF,65.17,FBF,,,
3992,C35H54NO8P,5.348,647.3526,,FBF,56.89,FBF,,,
3993,C39H78NO9P,19.954,735.5355,,FBF,59.99,FBF,,,
3994,C39H64NO8P,4.411,705.4402,,FBF,57.21,FBF,,,
3995,C40H80NO9P,19.954,749.5519,,FBF,61.9,FBF,,,
3996,C40H60NO8P,19.07,713.4101,,FBF,66.75,FBF,,,
3997,C41H62NO8P,5.737,727.4242,,FBF,84.65,FBF,,,
3998,C43H66NO9P,5.919,771.4458,,FBF,66.22,FBF,,,
3999,C43H82NO9P,10.026,787.5666,,FBF,67.5,FBF,,,
4000,C44H68NO9P,13.405,785.4655,,FBF,59.59,FBF,,,
4001,C44H66NO8P,5.01,767.4507,,FBF,54.62,FBF,,,
4002,C45H70NO8P,4.671,783.483,,FBF,86.85,FBF,21727273.0,15.77,4512959.0
4003,C45H70NO9P,4.489,799.4762,,FBF,50.09,FBF,,,
4004,C45H68NO9P,4.724,797.4627,,FBF,69.53,FBF,,,
4005,C45H76NO9P,4.75,805.5269,,FBF,91.19,FBF,34765323.0,25.23,4024607.0
4006,C46H72NO9P,4.75,813.4894,,FBF,73.41,FBF,34765323.0,25.23,4024607.0
4007,C46H70NO9P,5.088,811.4769,,FBF,74.22,FBF,,,
4008,C47H74NO9P,4.75,827.5088,,FBF,88.18,FBF,34765323.0,25.23,4024607.0
4009,C47H72NO8P,20.006,809.4964,,FBF,66.63,FBF,,,
4010,C47H72NO9P,11.403,825.4875,,FBF,78.85,FBF,,,
4011,C47H92NO9P,14.315,845.6519,,FBF,56.13,FBF,,,
4012,C47H90NO9P,19.98,843.6272,,FBF,56.29,FBF,,,
4013,C47H84NO9P,20.006,837.5846,,FBF,54.52,FBF,,,
4014,C48H96NO9P,17.589,861.6799,,FBF,50.86,FBF,,,
4015,C48H72NO9P,12.131,837.4937,,FBF,56.29,FBF,,,
4016,C49H86NO9P,13.301,863.604,,FBF,64.11,FBF,,,
4017,C49H84NO9P,13.405,861.5864,,FBF,50.82,FBF,,,
4018,C49H82NO9P,0.409,859.5747,,FBF,76.43,FBF,,,
4019,C51H82NO9P,13.353,883.5699,,FBF,71.1,FBF,,,
4020,C51H78NO8P,14.835,863.5471,,FBF,53.21,FBF,,,
4021,C53H106NO9P,13.327,931.7559,,FBF,52.2,FBF,,,
4022,C53H86NO9P,18.888,911.6053,,FBF,53.53,FBF,,,
4023,C53H104NO9P,13.587,929.7424,,FBF,52.1,FBF,,,
4024,C53H98NO9P,19.954,923.6972,,FBF,50.17,FBF,,,
4025,C53H90NO9P,16.654,915.64,,FBF,50.65,FBF,,,
4026,C54H106NO9P,22.395,943.7697,,FBF,54.54,FBF,,,
4027,C54H102NO9P,17.693,939.7339,,FBF,53.48,FBF,,,
4028,C54H92NO9P,15.64,929.6528,,FBF,54.51,FBF,,,
4029,C55H90NO9P,15.146,939.6316,,FBF,53.52,FBF,,,
4030,C55H100NO9P,18.187,949.7101,,FBF,73.22,FBF,,,
4031,C55H96NO9P,14.86,945.685,,FBF,56.82,FBF,,,
4032,C55H92NO9P,16.524,941.6492,,FBF,58.69,FBF,,,
4033,C56H112NO9P,17.303,973.8053,,FBF,54.68,FBF,,,
4034,C56H108NO9P,13.769,969.7726,,FBF,57.39,FBF,,,
4035,C56H100NO9P,14.757,961.7194,,FBF,58.09,FBF,,,
4036,C57H90NO8P,16.888,947.6336,,FBF,51.34,FBF,,,
4037,C57H90NO9P,16.498,963.6373,,FBF,57.03,FBF,,,
4038,C57H108NO9P,18.55,981.7786,,FBF,56.61,FBF,,,
4039,C59H96NO8P,16.316,977.6896,,FBF,58.79,FBF,,,
4040,C59H102NO8P,14.393,983.7273,,FBF,60.51,FBF,,,
4041,C61H110NO9P,14.341,1031.7984,,FBF,50.02,FBF,,,
4042,C61H108NO8P,17.745,1013.7807,,FBF,50.75,FBF,,,
4043,C61H108NO9P,17.719,1029.7843,,FBF,52.28,FBF,,,
4044,C62H112NO9P,20.239,1045.8041,,FBF,53.43,FBF,,,
4045,C62H110NO9P,20.317,1043.7856,,FBF,51.9,FBF,,,
4046,C63H122NO9P,19.33,1067.8847,,FBF,52.39,FBF,,,
4047,C64H128NO9P,20.343,1085.932,,FBF,50.64,FBF,,,
4048,C64H106NO9P,18.395,1063.7576,,FBF,50.46,FBF,,,
4049,C64H126NO9P,21.798,1083.9184,,FBF,51.77,FBF,,,
4050,C64H116NO9P,19.694,1073.8414,,FBF,56.57,FBF,,,
4051,C64H112NO9P,17.979,1069.8065,,FBF,56.77,FBF,,,
4052,C64H110NO9P,17.927,1067.7912,,FBF,51.1,FBF,69640019.0,50.53,3554556.0
4053,C65H110NO8P,14.86,1063.7972,,FBF,52.46,FBF,,,
4054,C65H110NO9P,14.86,1079.7841,,FBF,57.02,FBF,,,
4055,C65H112NO8P,13.951,1065.817,,FBF,59.2,FBF,,,
4056,C66H110NO9P,14.886,1091.7833,,FBF,55.75,FBF,,,
4057,C66H114NO9P,19.564,1095.826,,FBF,52.46,FBF,,,
4058,C67H132NO9P,20.551,1125.962,,FBF,70.16,FBF,,,
4059,C67H122NO9P,20.032,1115.8843,,FBF,51.01,FBF,,,
4060,C67H116NO8P,21.694,1093.8468,,FBF,53.09,FBF,,,
4061,C69H114NO9P,14.886,1131.8214,,FBF,50.66,FBF,,,
4062,C71H136NO9P,19.902,1177.9924,,FBF,84.21,FBF,,,
4063,C71H128NO9P,20.032,1169.9345,,FBF,51.13,FBF,,,
4064,C72H120NO9P,17.875,1173.8722,,FBF,64.42,FBF,,,
4065,C73H126NO8P,18.317,1175.9289,,FBF,54.5,FBF,,,
4066,C73H126NO9P,17.251,1191.9165,,FBF,53.76,FBF,,,
4067,C73H144NO9P,22.057,1210.0532,,FBF,64.76,FBF,,,
4068,C73H134NO9P,19.928,1199.9763,,FBF,78.91,FBF,,,
4069,C73H130NO8P,19.616,1179.9498,,FBF,50.12,FBF,,,
4070,C19H38NO7P,4.411,423.235,,FBF,55.7,FBF,,,
4071,C23H42NO7P,3.371,475.2697,,FBF,86.65,FBF,,,
4072,C25H42NO7P,4.984,499.2704,,FBF,52.1,FBF,,,
4073,C17H34NO7P,3.007,395.2106,,FBF,53.99,FBF,135352463.0,98.21,8155244.0
4074,C19H36NO7P,4.854,421.2204,,FBF,71.08,FBF,,,
4075,C21H38NO7P,3.085,447.2371,,FBF,70.55,FBF,,,
4076,C24H42NO7P,4.177,487.2701,,FBF,56.44,FBF,,,
4077,C26H42NO7P,3.683,511.2693,,FBF,53.43,FBF,101832261.0,73.89,9068415.0
4078,C19H40NO6P,12.365,409.2609,,FBF,72.77,FBF,,,
4079,C19H38NO6P,4.75,407.2469,,FBF,62.3,FBF,34765323.0,25.23,4024607.0
4080,C21H44NO6P,3.553,437.294,,FBF,71.62,FBF,,,
4081,C25H46NO6P,4.515,487.3033,,FBF,68.64,FBF,,,
4082,C31H52NO6P,4.203,565.3541,,FBF,50.47,FBF,,,
4083,C33H64NO7P,13.353,617.4385,,FBF,55.97,FBF,,,
4084,C41H82NO10P,19.928,779.5699,,FBF,74.9,FBF,,,
4085,C45H80NO10P,10.935,825.5521,,FBF,58.94,FBF,,,
4086,C51H82NO7P,18.369,851.5775,,FBF,53.15,FBF,,,
4087,C45H86NO10P,17.719,831.5967,,FBF,57.37,FBF,,,
4088,C61H112NO7P,13.431,1001.8156,,FBF,60.08,FBF,,,
4089,C39H64NO7P,4.229,689.4404,,FBF,74.79,FBF,,,
4090,C39H62NO7P,4.88,687.4274,,FBF,65.94,FBF,,,
4091,C41H64NO7P,5.477,713.442,,FBF,60.74,FBF,,,
4092,C45H70NO7P,4.567,767.4867,,FBF,61.32,FBF,,,
4093,C45H68NO7P,18.992,765.4675,,FBF,52.63,FBF,,,
4094,C47H70NO7P,13.847,791.4889,,FBF,50.51,FBF,,,
4095,C55H102NO7P,18.68,919.7393,,FBF,53.42,FBF,,,
4096,C50H72NO7P,13.847,829.5031,,FBF,50.07,FBF,,,
4097,C18H32NO8P,6.205,421.1892,,FBF,51.32,FBF,,,
4098,C18H30NO9P,6.699,435.1635,,FBF,53.56,FBF,,,
4099,C23H42NO8P,3.397,491.264,,FBF,77.97,FBF,,,
4100,C25H46NO10P,3.943,551.2809,,FBF,70.42,FBF,,,
4101,C25H44NO10P,6.984,549.2651,,FBF,53.2,FBF,,,
4102,C9H20NO7P,3.943,285.0955,,FBF,63.14,FBF,,,
4103,C12H20NO10P,4.906,369.082,,FBF,73.7,FBF,,,
4104,C13H24NO9P,9.87,369.1183,,FBF,59.78,FBF,,,
4105,C14H22NO9P,9.064,379.1045,,FBF,68.2,FBF,,,
4106,C39H72NO12P,5.555,777.4823,,FBF,52.82,FBF,,,
4107,C27H50NO11P,4.125,595.3069,,FBF,69.17,FBF,,,
4108,C27H48NO10P,5.555,577.302,,FBF,51.06,FBF,,,
4109,C27H48NO11P,19.486,593.2933,,FBF,58.73,FBF,,,
4110,C24H44NO9P,3.735,521.2763,,FBF,72.42,FBF,,,
4111,C24H44NO10P,7.504,537.2667,,FBF,62.51,FBF,,,
4112,C28H46NO10P,7.92,587.2809,,FBF,67.21,FBF,,,
4113,C41H74NO12P,12.703,803.5026,,FBF,53.06,FBF,,,
4114,C43H80NO12P,4.854,833.5384,,FBF,53.11,FBF,,,
4115,C43H76NO12P,4.75,829.5139,,FBF,60.45,FBF,34765323.0,25.23,4024607.0
4116,C43H72NO11P,18.654,809.4881,,FBF,54.11,FBF,,,
4117,C45H74NO10P,4.802,819.5076,,FBF,61.71,FBF,,,
4118,C30H50NO11P,4.099,631.3102,,FBF,62.69,FBF,83277318.0,60.43,8857146.0
4119,C43H74NO12P,12.911,827.4966,,FBF,51.8,FBF,,,
4120,C43H70NO11P,13.379,807.474,,FBF,56.94,FBF,,,
4121,C45H72NO10P,11.689,817.4929,,FBF,55.42,FBF,,,
4122,C45H70NO10P,5.867,815.4725,,FBF,55.13,FBF,,,
4123,C30H46NO10P,4.359,611.2806,,FBF,63.49,FBF,,,
4124,C32H48NO10P,12.651,637.301,,FBF,91.0,FBF,,,
4125,C45H84NO12P,20.058,861.5786,,FBF,56.38,FBF,,,
4126,C45H82NO12P,15.744,859.5554,,FBF,52.27,FBF,,,
4127,C47H80NO10P,4.854,849.5527,,FBF,93.73,FBF,,,
4128,C45H78NO12P,13.691,855.5195,,FBF,53.08,FBF,,,
4129,C47H74NO10P,4.593,843.5062,,FBF,53.6,FBF,,,
4130,C32H50NO11P,4.281,655.307,,FBF,59.36,FBF,65500642.0,47.53,8732868.0
4131,C34H52NO10P,12.651,665.3319,,FBF,79.05,FBF,,,
4132,C45H74NO12P,14.081,851.4987,,FBF,60.7,FBF,,,
4133,C47H72NO10P,4.828,841.4902,,FBF,67.99,FBF,,,
4134,C45H88NO10P,22.369,833.6198,,FBF,54.38,FBF,,,
4135,C47H88NO10P,18.836,857.6142,,FBF,55.99,FBF,,,
4136,C47H88NO11P,20.655,873.6029,,FBF,53.93,FBF,,,
4137,C49H86NO10P,18.836,879.6062,,FBF,75.94,FBF,,,
4138,C47H78NO11P,5.685,863.5296,,FBF,50.39,FBF,,,
4139,C49H80NO10P,14.964,873.5536,,FBF,59.9,FBF,,,
4140,C49H78NO10P,4.854,871.5347,,FBF,89.48,FBF,,,
4141,C34H52NO11P,13.275,681.3258,,FBF,54.42,FBF,,,
4142,C47H76NO12P,12.573,877.519,,FBF,50.48,FBF,,,
4143,C47H70NO10P,15.432,839.4739,,FBF,50.25,FBF,,,
4144,C49H74NO10P,13.353,867.5088,,FBF,54.98,FBF,,,
4145,C49H72NO9P,18.55,849.4941,,FBF,57.76,FBF,,,
4146,C34H50NO11P,12.651,679.3105,,FBF,69.21,FBF,,,
4147,C35H52NO11P,17.096,693.3255,,FBF,53.48,FBF,,,
4148,C41H80NO11P,13.301,793.549,,FBF,60.36,FBF,,,
4149,C23H40NO8P,4.047,489.2518,,FBF,66.03,FBF,,,
4150,C19H38NO8P,5.166,439.2334,,FBF,59.83,FBF,,,
4151,C27H40NO8P,7.868,537.2443,,FBF,50.65,FBF,,,
4152,C27H38NO8P,3.735,535.2368,,FBF,55.12,FBF,,,
4153,C31H46NO8P,4.489,591.2947,,FBF,69.33,FBF,,,
4154,C35H52NO8P,4.802,645.3439,,FBF,57.94,FBF,,,
4155,C43H64NO8P,4.984,753.4328,,FBF,54.45,FBF,,,
4156,C43H62NO8P,5.4,751.4213,,FBF,55.27,FBF,,,
4157,C89H130NO8P,20.006,1371.9592,,FBF,57.79,FBF,,,
4158,C49H72NO8P,14.757,833.5012,,FBF,65.62,FBF,,,
4159,C51H72NO8P,18.758,857.4921,,FBF,51.0,FBF,,,
4160,C38H75O10P,19.928,722.5122,,FBF,53.8,FBF,,,
4161,C40H75O10P,17.719,746.5093,,FBF,61.17,FBF,,,
4162,C42H75O10P,19.928,770.5113,,FBF,55.25,FBF,,,
4163,C42H73O10P,19.954,768.4995,,FBF,61.25,FBF,,,
4164,C44H83O10P,19.018,802.571,,FBF,83.8,FBF,,,
4165,C38H71O10P,4.541,718.4781,,FBF,76.74,FBF,27697614.0,20.1,4488337.0
4166,C42H71O10P,19.928,766.4779,,FBF,58.38,FBF,,,
4167,C46H89O10P,14.938,832.6137,,FBF,50.9,FBF,,,
4168,C46H77O10P,22.083,820.5247,,FBF,53.04,FBF,,,
4169,C48H89O10P,14.549,856.6196,,FBF,50.81,FBF,,,
4170,C48H81O10P,11.169,848.5566,,FBF,58.08,FBF,,,
4171,C48H79O10P,13.353,846.5464,,FBF,62.0,FBF,,,
4172,C48H77O10P,14.185,844.5283,,FBF,51.04,FBF,,,
4173,C46H71O10P,10.779,814.4768,,FBF,53.55,FBF,,,
4174,C50H93O10P,12.469,884.6544,,FBF,51.37,FBF,,,
4175,C50H83O10P,19.954,874.5642,,FBF,60.75,FBF,,,
4176,C50H77O10P,13.795,868.5261,,FBF,75.49,FBF,,,
4177,C50H75O10P,13.665,866.5103,,FBF,63.55,FBF,,,
4178,C40H69O10P,4.541,740.46,,FBF,66.02,FBF,27697614.0,20.1,4488337.0
4179,C47H85O10P,17.329,840.595,,FBF,50.11,FBF,,,
4180,C48H71O10P,14.133,838.4773,,FBF,53.13,FBF,,,
4181,C49H95O10P,19.044,874.6643,,FBF,70.53,FBF,,,
4182,C49H75O10P,4.854,854.508,,FBF,89.48,FBF,,,
4183,C49H73O10P,12.417,852.497,,FBF,62.56,FBF,,,
4184,C49H79O10P,18.94,858.5424,,FBF,53.48,FBF,,,
4185,C51H77O10P,13.379,880.5273,,FBF,90.67,FBF,,,
4186,C51H91O10P,16.732,894.6354,,FBF,59.65,FBF,94955583.0,68.9,562409.0
4187,C51H83O10P,19.356,886.5679,,FBF,78.56,FBF,,,
4188,C52H103O10P,18.862,918.7273,,FBF,51.61,FBF,,,
4189,C52H99O10P,18.109,914.6931,,FBF,52.81,FBF,,,
4190,C52H89O10P,21.2,904.6199,,FBF,52.47,FBF,,,
4191,C53H105O10P,18.498,932.7467,,FBF,54.86,FBF,,,
4192,C53H85O10P,17.823,912.5855,,FBF,50.68,FBF,,,
4193,C54H83O10P,5.27,922.5732,,FBF,66.06,FBF,,,
4194,C55H109O10P,14.601,960.7677,,FBF,58.23,FBF,,,
4195,C55H89O10P,14.263,940.6199,,FBF,50.87,FBF,,,
4196,C55H87O10P,4.984,938.6067,,FBF,65.81,FBF,,,
4197,C55H103O10P,14.809,954.7375,,FBF,52.73,FBF,,,
4198,C56H109O10P,18.602,972.7716,,FBF,51.71,FBF,,,
4199,C56H87O10P,20.603,950.595,,FBF,60.26,FBF,,,
4200,C56H103O10P,19.408,966.7295,,FBF,57.96,FBF,,,
4201,C59H117O10P,12.963,1016.8409,,FBF,81.29,FBF,,,
4202,C59H113O10P,19.2,1012.8047,,FBF,50.67,FBF,,,
4203,C60H95O10P,14.912,1006.6617,,FBF,59.44,FBF,,,
4204,C60H111O10P,13.483,1022.7989,,FBF,56.04,FBF,,,
4205,C60H107O10P,14.133,1018.76,,FBF,65.08,FBF,,,
4206,C61H121O10P,17.667,1044.8672,,FBF,62.03,FBF,,,
4207,C61H115O10P,17.927,1038.818,,FBF,73.01,FBF,69640019.0,50.53,3554556.0
4208,C62H103O10P,19.616,1038.7191,,FBF,56.47,FBF,,,
4209,C62H101O10P,19.928,1036.7047,,FBF,51.66,FBF,,,
4210,C62H109O10P,17.927,1044.7754,,FBF,78.48,FBF,69640019.0,50.53,3554556.0
4211,C62H105O10P,20.291,1040.7458,,FBF,58.71,FBF,,,
4212,C63H101O10P,13.353,1048.7203,,FBF,55.88,FBF,,,
4213,C63H119O10P,17.147,1066.854,,FBF,54.18,FBF,,,
4214,C63H113O10P,17.927,1060.8004,,FBF,67.99,FBF,69640019.0,50.53,3554556.0
4215,C64H107O10P,20.291,1066.7588,,FBF,88.68,FBF,,,
4216,C64H117O10P,14.86,1076.8384,,FBF,50.11,FBF,,,
4217,C64H115O10P,18.68,1074.819,,FBF,50.5,FBF,,,
4218,C65H129O10P,20.265,1100.929,,FBF,51.71,FBF,,,
4219,C65H109O10P,14.86,1080.7812,,FBF,57.22,FBF,,,
4220,C65H123O10P,22.213,1094.8824,,FBF,57.39,FBF,,,
4221,C65H111O10P,17.927,1082.7829,,FBF,56.29,FBF,69640019.0,50.53,3554556.0
4222,C66H111O10P,18.109,1094.7868,,FBF,74.56,FBF,,,
